distance,track,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish,winloss
650.0,1,3,137099,835,96,4.8,2,58.18,57.94,55.37,6,0
800.0,0,5,74725,3462,103,12.9,5,55.05,55.36,55.53,2,1
800.0,0,6,16787,1626,96,8.3,6,56.11,55.61,55.2,8,0
800.0,0,4,15722,234680,103,21.3,4,55.74,55.53,55.53,3,1
800.0,0,5,163211,835,94,32.3,8,53.99,55.07,55.09,9,0
800.0,0,5,153873,37522,97,53.9,10,54.02,55.09,55.26,7,0
800.0,0,4,137099,835,106,0.7,7,55.77,55.63,55.72,1,1
800.0,0,6,152588,1127,98,9.1,1,56.63,55.88,55.31,5,0
800.0,0,5,122644,277836,92,7.1,2,56.28,55.8,54.97,10,0
800.0,0,5,1811,531,102,16.2,3,53.3,54.65,55.48,4,0
800.0,0,5,102032,1902,98,19.3,9,54.53,55.11,55.27,6,0
500.0,1,2,163211,94,64,19.7,9,56.65,54.48,54.75,5,0
500.0,1,2,114312,26392,52,1.3,2,60.19,57.09,54.13,7,0
500.0,1,2,102369,963516,78,2.6,3,60.16,57.11,55.46,3,1
500.0,1,2,162748,1257,78,7.3,1,59.61,56.92,55.45,4,0
500.0,1,2,142413,6363,49,14.8,6,57.75,55.17,53.99,8,0
500.0,1,2,137099,6363,80,11.5,5,57.78,55.51,55.58,1,1
500.0,1,2,502,15262,47,29.0,4,55.92,53.87,53.89,9,0
500.0,1,2,121108,15262,52,62.1,8,55.56,53.96,54.14,6,0
500.0,1,2,74725,1078,78,6.4,7,57.2,55.53,55.48,2,1
800.0,0,4,1339,94,93,9.1,1,57.47,56.76,55.02,7,0
800.0,0,5,3752,3794,93,21.0,3,53.53,55.37,54.98,8,0
800.0,0,4,74725,2194,100,7.8,4,56.14,55.88,55.33,2,1
800.0,0,4,137099,94,98,2.0,2,57.12,56.5,55.26,5,0
800.0,0,4,102032,489,99,3.5,5,56.73,56.16,55.31,3,1
800.0,0,4,1811,298,99,16.5,12,55.1,55.63,55.31,4,0
800.0,0,4,152588,1150,93,25.1,6,56.7,56.33,54.98,9,0
800.0,0,5,122644,190204,90,46.6,10,54.4,55.45,54.85,10,0
800.0,0,4,153873,199159,101,10.9,11,55.45,55.71,55.4,1,1
800.0,0,4,15722,207791,86,79.2,8,56.18,56.06,54.66,11,0
800.0,0,4,502,37522,98,6.0,9,55.97,56.07,55.26,6,0
800.0,0,4,160005,241686,77,44.3,7,57.08,56.68,54.2,12,0
850.0,1,4,152588,1626,118,1.3,5,57.22,55.93,54.49,1,1
850.0,1,5,122644,83,107,2.6,3,56.87,55.85,53.96,2,1
850.0,1,4,160773,94,104,6.0,1,56.7,55.68,53.81,4,0
850.0,1,4,137099,83,105,2.9,2,56.0,55.32,53.83,3,1
850.0,1,5,1452,257611,57,10.2,4,55.83,55.66,51.48,5,0
800.0,0,3,122644,277836,92,8.6,2,57.21,55.74,54.97,12,0
800.0,0,3,502,94,104,2.5,1,57.59,56.08,55.6,3,1
800.0,0,3,135108,94,103,28.2,5,56.68,55.48,55.52,5,0
800.0,0,3,1770,277836,98,6.6,9,57.24,55.91,55.28,9,0
800.0,0,3,160005,531,103,72.9,10,56.33,55.23,55.53,4,0
800.0,0,3,102032,94,95,46.9,4,57.03,55.66,55.11,11,0
800.0,0,3,152588,137497,101,10.1,13,54.9,54.37,55.42,6,0
800.0,0,3,137099,272182,100,8.5,11,55.28,54.63,55.38,7,0
800.0,0,3,74725,1257,105,5.9,3,57.77,56.34,55.64,1,1
800.0,0,3,16787,37522,90,44.2,12,55.25,54.55,54.86,13,0
800.0,0,3,1811,954913,96,30.2,6,55.81,55.14,55.16,10,0
800.0,0,3,3752,26392,100,25.9,8,55.63,54.8,55.37,8,0
800.0,0,3,1339,199159,105,5.0,7,56.16,55.06,55.61,2,1
500.0,1,2,160773,245408,38,65.6,2,57.23,55.03,53.59,10,0
500.0,1,2,74725,199159,80,17.8,1,58.52,57.11,55.76,3,1
500.0,1,2,99161,963516,60,16.7,10,56.63,55.29,54.72,9,0
500.0,1,2,163211,835,86,4.8,6,57.06,55.98,56.06,2,1
500.0,1,2,3752,15262,66,24.3,4,56.98,55.72,55.01,6,0
500.0,1,2,135108,298,64,43.8,7,57.02,55.9,54.93,8,0
500.0,1,2,502,15262,80,5.1,3,57.99,56.94,55.72,4,0
500.0,1,2,102032,6363,64,11.2,9,57.95,56.68,54.94,7,0
500.0,1,2,142413,6363,75,27.1,5,59.06,57.37,55.49,5,0
500.0,1,2,152588,835,91,0.8,8,58.88,57.39,56.3,1,1
850.0,0,3,152588,1493,93,3.7,3,56.77,55.58,54.4,3,1
850.0,0,4,121108,622,83,80.2,8,52.96,53.37,53.87,9,0
