distance,purse,track,age,odds,pp_start,j_starts,j_first,j_second,j_third,j_total_win_amt,j_win_perc,j_top_3,j_top_3_perc,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3,winloss
600.0,60000.0,1,2,41.7,8,51,4,7,7,312568,0.08,18,0.35,51,9,9,5,435875,0.18,0.45,0
600.0,60000.0,1,2,27.5,9,63,9,6,5,314435,0.14,20,0.32,39,10,8,1,555914,0.26,0.49,0
600.0,60000.0,1,2,95.8,2,5,0,1,0,5380,0.0,1,0.2,17,1,0,5,58935,0.06,0.35,0
600.0,60000.0,1,2,13.5,6,45,2,5,3,252680,0.04,10,0.22,6,1,0,1,42540,0.17,0.33,0
600.0,60000.0,1,2,8.7,5,42,10,3,5,683730,0.24,18,0.43,39,10,8,1,555914,0.26,0.49,0
600.0,60000.0,1,2,24.9,1,59,7,8,8,562909,0.12,23,0.39,44,13,5,2,616845,0.3,0.45,0
600.0,60000.0,1,2,61.1,10,35,4,3,2,137660,0.11,9,0.26,18,0,2,3,106055,0.0,0.28,1
600.0,60000.0,1,2,3.8,3,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45,0
600.0,60000.0,1,2,5.6,4,40,2,7,9,346967,0.05,18,0.45,17,1,0,5,58935,0.06,0.35,1
850.0,65000.0,0,4,21.4,9,20,3,1,2,83170,0.15,6,0.3,42,6,5,5,524088,0.14,0.38,0
850.0,65000.0,0,5,17.8,5,40,4,4,4,237110,0.1,12,0.3,10,1,5,0,81380,0.1,0.6,1
850.0,65000.0,0,4,7.0,1,59,7,8,8,562909,0.12,23,0.39,44,13,5,2,616845,0.3,0.45,0
850.0,65000.0,0,4,4.3,7,13,4,2,0,349280,0.31,6,0.46,42,6,5,5,524088,0.14,0.38,0
850.0,65000.0,0,3,68.1,2,15,1,1,3,79825,0.07,5,0.33,6,0,0,1,7080,0.0,0.17,0
850.0,65000.0,0,5,5.3,8,31,2,5,5,270490,0.06,12,0.39,14,1,2,3,85955,0.07,0.43,1
850.0,65000.0,0,4,3.8,3,19,1,4,4,168321,0.05,9,0.47,39,5,5,5,286355,0.13,0.38,1
850.0,65000.0,0,5,3.1,11,42,10,3,5,683730,0.24,18,0.43,11,1,2,0,106815,0.09,0.27,0
850.0,65000.0,0,6,18.8,6,63,9,6,5,314435,0.14,20,0.32,44,13,5,2,616845,0.3,0.45,0
850.0,65000.0,0,5,26.7,4,52,8,3,9,311237,0.15,20,0.38,39,5,5,5,286355,0.13,0.38,0
850.0,65000.0,0,4,14.2,10,51,4,7,7,312568,0.08,18,0.35,18,2,2,0,105130,0.11,0.22,0
700.0,150000.0,1,3,6.8,7,52,8,3,9,311237,0.15,20,0.38,42,6,5,5,524088,0.14,0.38,0
700.0,150000.0,1,3,3.5,6,19,1,4,4,168321,0.05,9,0.47,6,1,0,1,38955,0.17,0.33,1
700.0,150000.0,1,3,12.3,1,42,10,3,5,683730,0.24,18,0.43,39,10,8,1,555914,0.26,0.49,0
700.0,150000.0,1,3,2.5,5,45,2,5,3,252680,0.04,10,0.22,17,3,1,1,193260,0.18,0.29,0
700.0,150000.0,1,3,33.2,2,1,0,0,0,6000,0.0,0,0.0,16,1,1,2,40804,0.06,0.25,0
700.0,150000.0,1,3,3.5,4,51,4,7,7,312568,0.08,18,0.35,10,0,2,1,51546,0.0,0.3,1
700.0,150000.0,1,3,3.2,3,59,7,8,8,562909,0.12,23,0.39,42,6,5,5,524088,0.14,0.38,1
800.0,62000.0,0,4,8.4,8,51,4,7,7,312568,0.08,18,0.35,16,1,2,3,50157,0.06,0.38,1
800.0,62000.0,0,3,5.0,4,59,7,8,8,562909,0.12,23,0.39,18,2,2,0,105130,0.11,0.22,1
800.0,62000.0,0,3,57.6,10,63,9,6,5,314435,0.14,20,0.32,3,0,0,0,1890,0.0,0.0,0
800.0,62000.0,0,4,3.0,5,35,7,7,4,374120,0.2,18,0.51,4,0,1,1,31385,0.0,0.5,1
800.0,62000.0,0,5,109.1,9,22,4,1,2,123470,0.18,7,0.32,11,1,2,1,56940,0.09,0.36,0
800.0,62000.0,0,3,18.6,1,35,4,3,2,137660,0.11,9,0.26,24,5,1,1,449379,0.21,0.29,0
800.0,62000.0,0,3,78.0,7,40,4,4,4,237110,0.1,12,0.3,3,0,1,0,4690,0.0,0.33,0
800.0,62000.0,0,4,54.4,11,40,4,3,6,217807,0.1,13,0.33,2,0,0,0,3945,0.0,0.0,0
800.0,62000.0,0,3,4.0,3,42,10,3,5,683730,0.24,18,0.43,10,0,0,2,16002,0.0,0.2,0
800.0,62000.0,0,5,9.1,12,40,2,7,9,346967,0.05,18,0.45,16,1,1,2,40804,0.06,0.25,0
800.0,62000.0,0,3,8.7,6,45,2,5,3,252680,0.04,10,0.22,17,3,1,1,193260,0.18,0.29,0
800.0,62000.0,0,4,5.3,2,52,8,3,9,311237,0.15,20,0.38,10,1,5,0,81380,0.1,0.6,0
